resume_text,category
"Python machine learning pandas numpy data analysis","Data Scientist"
"HTML CSS JavaScript React frontend UI","Web Developer"
"TensorFlow deep learning docker NLP python","ML Engineer"
"Figma Adobe XD UI UX wireframes design","UI/UX Designer"
"Java Spring Boot APIs SQL backend","Backend Developer"
"Python Flask APIs SQL backend","Backend Developer"
"Data analysis SQL Tableau Excel python","Data Analyst"
"React frontend CSS responsive design","Web Developer"
"Machine learning NLP TensorFlow python","ML Engineer"
"UI UX Figma prototyping user research","UI/UX Designer"
